SMILES,Docked_SMILES,Score
CC(C)(C)C(CN1C=NC=N1)(COC2=CC=C(C=C2)Cl)O,CC(C)(C)C(O)(COc1ccc(Cl)cc1)Cn1cncn1,-7.3
COCN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3,COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-8
CC(C)N(CCC(CCN1CCCCC1)(C2=CC=CC=C2Cl)C(=O)N)C(C)C,CC(C)N(CCC(CCN1CCCCC1)(C(N)=O)c1ccccc1Cl)C(C)C,-6.6
CC1=C2C=CC(=O)OC2=C(C=C1)OCC(CNC(C)(C)C)O,Cc1ccc(OCC(O)CNC(C)(C)C)c2oc(=O)ccc12,-7.5
CC(C)C1=C(C2=CC=CC=C2N1)C(=O)C3=CN=CC=C3,CC(C)c1[nH]c2ccccc2c1C(=O)c1cccnc1,-7.4
CC(=O)C(=CC1=CC=C(C=C1)S(=O)(=O)C)C(=O)C,CC(=O)C(=Cc1ccc(S(C)(=O)=O)cc1)C(C)=O,-7.1
CC(C)(C)NCC(COC1=CC=CC=C1C2=NN=C(C=C2)NN)O,CC(C)(C)NCC(O)COc1ccccc1-c1ccc(NN)nn1,-7.4
C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)C=CC4=C(C(=O)C=C[C@]34C)N,C[C@]12C=CC(=O)C(N)=C1C=C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,-7.3
CC1=C(C=C(C(=O)N1)C#N)C2=CC=C(C=C2)OCC(CN3CCN(CC3)C4=CC=CC=C4OC)O,COc1ccccc1N1CCN(CC(O)COc2ccc(-c3cc(C#N)c(=O)[nH]c3C)cc2)CC1,-8.1
CC1=NN=C(O1)C(CCN2CC3CCC2CC3)(C4=CC=CC=C4)C5=CC=CC=C5,Cc1nnc(C(CCN2CC3CCC2CC3)(c2ccccc2)c2ccccc2)o1,-8.4
CCC(=O)C1=CC=C(C=C1)OCC(CN2CCN(CC2)C3=CC=CC=C3)O,CCC(=O)c1ccc(OCC(O)CN2CCN(c3ccccc3)CC2)cc1,-8
C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4F,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC1CC1,-8.3
CC(C)(C(=O)O)OCC1=CC=C(C=C1)C2=CC=C(C=C2)Cl,CC(C)(OCc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)O,-7.7
CCCCCCCCN=C(N)NC(=NCC1=CC(=C(C=C1)Cl)Cl)N,CCCCCCCCN=C(N)NC(N)=NCc1ccc(Cl)c(Cl)c1,-7
C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2N=C(C=C3)Cl)O)Cl,O=C1Nc2ccc(Cl)nc2C(c2ccccc2Cl)=NC1O,-8.5
CN(CCCN1CC2=CC(=C(C=C2C1=O)OC)OC)CCC3=CC(=C(C=C3)OC)OC,COc1ccc(CCN(C)CCCN2Cc3cc(OC)c(OC)cc3C2=O)cc1OC,-6.9
CC#CC1(CCCCC1)OCC(COCC(C)C)N2CCCC2,CC#CC1(OCC(COCC(C)C)N2CCCC2)CCCCC1,-6.7
COC1=CC=C(C=C1)N(CCCC(=O)O)C(=O)C2=CC=C(C=C2)Cl,COc1ccc(N(CCCC(=O)O)C(=O)c2ccc(Cl)cc2)cc1,-7.6
CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)NC(=O)COC2=CC=C(C=C2)Cl)Cl,CCN(CC)CCNC(=O)c1cc(Cl)c(NC(=O)COc2ccc(Cl)cc2)cc1OC,-7.2
CC1=CC(=NN1)CCN2CCN(CC2)C3=CC(=CC=C3)Cl,Cc1cc(CCN2CCN(c3cccc(Cl)c3)CC2)n[nH]1,-8.4
CC1=C2C(=CN1C)NC(=O)CN=C2C3=CC=CC=C3,Cc1c2c(cn1C)NC(=O)CN=C2c1ccccc1,-7.3
C1CN(CCN1CCCN2C(=O)C3=CC=CC=C3NC2=O)C4=CC=CC=C4,O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2ccccc2)CC1,-7.6
CCCCCC[C@H]1CCC([C@@H]1CCCCCCC(=O)O)O,CCCCCC[C@H]1CCC(O)[C@@H]1CCCCCCC(=O)O,-6.5
C1CC(OC1)CN2C(SCC2=O)C3=CN(N=C3C4=CC=C(C=C4)Cl)C5=CC=CC=C5,O=C1CSC(c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)N1CC1CCCO1,-8
CC(CO)(CO)NCC1=CC2=C(C=CC3=CC=CC=C32)C4=CC=CC=C41,CC(CO)(CO)NCc1cc2c3ccccc3ccc2c2ccccc12,-9.1
CN(C)CCNC1=C2C3=C(C=C1)N(N=C3C4=C(C2=O)C=CN=C4)CCNCCO,CN(C)CCNc1ccc2c3c(nn2CCNCCO)-c2cnccc2C(=O)c13,-7.7
C1CN(CC2=C1NC3=C2C=C(C=C3)F)CCC4=CC=NC=C4,Fc1ccc2[nH]c3c(c2c1)CN(CCc1ccncc1)CC3,-8.8
CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCCO)O)O,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCCO,-5.9
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)C#N,CN(C)CCCN1c2ccccc2CCc2ccc(C#N)cc21,-6.7
CC1=NC(=C(N=N1)C2=CC=C(C=C2)OC)C3=CC=C(C=C3)OC,COc1ccc(-c2nnc(C)nc2-c2ccc(OC)cc2)cc1,-7.4
C1CCC(C(C1)C(=O)N2CCC3=CC=CC=C3C2)C(=O)O,O=C(O)C1CCCCC1C(=O)N1CCc2ccccc2C1,-8.9
C1CSC2=NC(=O)C(C(=O)N21)CC3=CC=C(C=C3)Cl,O=C1N=C2SCCN2C(=O)C1Cc1ccc(Cl)cc1,-7.4
CS(=O)(=O)N1CCC(CC1)NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,CS(=O)(=O)N1CCC(NC(=O)c2[nH]ncc2NC(=O)c2c(Cl)cccc2Cl)CC1,-7.8
CC(C)NCC(COC1=CC=CC=C1C2CCCCC2)O,CC(C)NCC(O)COc1ccccc1C1CCCCC1,-7
CN(C1=CC=CC=C1)C2=CC(=O)C(=CC2=O)NC3=NC=NC4=CC(=C(C=C43)OC)OCCOC,COCCOc1cc2ncnc(NC3=CC(=O)C(N(C)c4ccccc4)=CC3=O)c2cc1OC,-7.9
C[C@@]1(CCC[C@@H]1NC(=O)C2=CC=CC=C2N3N=CC=N3)NC4=NC=C(N=C4)C(F)(F)F,C[C@]1(Nc2cnc(C(F)(F)F)cn2)CCC[C@@H]1NC(=O)c1ccccc1-n1nccn1,-9.3
