SMILES,Docked_SMILES,Score
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)CC(COC3=CC4=CC=CC=C4C=C3)O,CC(=O)Nc1ccc(S(=O)(=O)N2CCN(CC(O)COc3ccc4ccccc4c3)CC2)cc1,-8.4
C1CC1(C#N)NC(=O)[C@@H]2C[C@H](C[C@H]2C(=O)NC3=CC=C(C=C3)F)S(=O)(=O)C4=CC=CC=C4,N#CC1(NC(=O)[C@@H]2C[C@@H](S(=O)(=O)c3ccccc3)C[C@H]2C(=O)Nc2ccc(F)cc2)CC1,-8.0
CCC1(C2C1CN(C2)CC3(CC4=CC=CC=C4C3)O)C5=CC(=CC=C5)NS(=O)(=O)C,CCC1(c2cccc(NS(C)(=O)=O)c2)C2CN(CC3(O)Cc4ccccc4C3)CC21,-9.2
CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCI,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)NCCI,-6.4
C1CN(CCN(C1)C(=O)CS(=O)(=O)/C=C/C2=CC=CC=C2)CC3=CSC=C3,O=C(CS(=O)(=O)/C=C/c1ccccc1)N1CCCN(Cc2ccsc2)CC1,-7.5
C[C@@H]1COCCN1C2=NC(=NC(=C2)C3(CC3)[S@](=N)(=O)C)N4C5=CC=CC=C5N=C4NC,CNc1nc2ccccc2n1-c1nc(N2CCOC[C@H]2C)cc(C2([S@](C)(=N)=O)CC2)n1,-8.9
CN1C(CN(C1=O)C2=NC=CC=N2)C(=O)NCC3=C(C(=CC=C3)C(F)(F)F)Cl,CN1C(=O)N(c2ncccn2)CC1C(=O)NCc1cccc(C(F)(F)F)c1Cl,-8.6
CN1C(=CC(=N1)C2CC2)NC(=O)N[C@@H](CCN3CC(C3)OC4=CC=C(C=C4)Cl)CO,Cn1nc(C2CC2)cc1NC(=O)N[C@H](CO)CCN1CC(Oc2ccc(Cl)cc2)C1,-7.0
CC1CN(C(CN1)CN2CCCC2=O)CC(=O)N3CC(C4=C3C=C(C=N4)CC5=CC=C(C=C5)F)(C)C,CC1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)C(CN2CCCC2=O)CN1,-9.0
C1=CC(=CC=C1COC2=CC=C(C=C2)C=C3C(=O)NC(=S)NC3=O)Br,O=C1NC(=S)NC(=O)C1=Cc1ccc(OCc2ccc(Br)cc2)cc1,-8.2
C1=CC(=CC(=C1)S(=O)(=O)N)C2=CC3=C(C=CN=C3C=C2)C4=CC(=CC=C4)S(=O)(=O)N,NS(=O)(=O)c1cccc(-c2ccc3nccc(-c4cccc(S(N)(=O)=O)c4)c3c2)c1,-9.7
CCC1=NN=C(S1)NC(=O)N[C@@H](CCN2CC(C2)OC3=CC=C(C=C3)Cl)CO,CCc1nnc(NC(=O)N[C@H](CO)CCN2CC(Oc3ccc(Cl)cc3)C2)s1,-7.2
